Affiliated Research Centers,Affiliated Research Labs,Broad Research Areas,DBLP name (all entries):,Department (home),Faculty Update Table,Google Scholar URL,Home page:,Name,Research Areas,Research Areas - Split 1,Research Areas - Split 10,Research Areas - Split 2,Research Areas - Split 3,Research Areas - Split 4,Research Areas - Split 5,Research Areas - Split 6,Research Areas - Split 7,Research Areas - Split 8,Research Areas - Split 9
,Video and Image Analysis Lab,"Artificial Intelligence,Reinforcement Learning,Machine Learning","Minwoo Lee, Min-Woo Lee",CS,,https://scholar.google.com/citations?user=awrLUJ4AAAAJ&hl=en,https://webpages.uncc.edu/mlee173/,Minwoo Jake Lee,"Machine Learning,Reinforcement Learning,Human-Robot Interaction",Machine Learning,,Reinforcement Learning,Human-Robot Interaction,,,,,,
Cyber Defense and Network Assurability Center,Human Computer Interaction Lab,"Security,Human Computer Interaction,Usable security and Privacy","Heather Lipford, Heather Richter Lipford, Heather Richter, Heather A. Richter",SIS,,https://scholar.google.com/citations?user=xzb1IqwAAAAJ&hl=en,https://webpages.uncc.edu/richter/,Heather Lipford,"Usable Security and Privacy,Human Computer Interaction,Secure Software Development",Usable Security and Privacy,,Human Computer Interaction,Secure Software Development,,,,,,
,Genome Visualization Lab,"""I study how user interfaces help scientists understand data by building robust, easy-to-use, open source software at low cost.""",Ann E. Loraine,Bioinformatics,,https://scholar.google.com/citations?user=dg3fgysAAAAJ&hl=en,https://bioviz.org https://bitbucket.org/lorainelab http://lorainelab.org http://igbquickload.org,Ann E. Loraine,"Interactive Visual Analytics,User Interfaces,Bioinformatics",Interactive Visual Analytics,,User Interfaces,Bioinformatics,,,,,,
CEI (Center for Education Innovation),Human Computer Interaction Lab,,Mary Lou Maher,SIS,,https://scholar.google.com/citations?user=2COOamwAAAAJ&hl=en,http://maryloumaher.net,Mary Lou Maher,"Computational Creativity,Collective Intelligence,Virtual Worlds,Curiosity,Studying Designers",Computational Creativity,,Collective Intelligence,Virtual Worlds,Curiosity,Studying Designers,,,,
Charlotte Visualization Center,,"Interaction,Visualization,Data",Aidong Lu,CS,,https://scholar.google.com/citations?user=8GNkuKYAAAAJ&hl=en&oi=ao,https://webpages.uncc.edu/alu1/,Aidong Lu,"Data Visualization,Mixed Reality,Immersive Analytics,Human Behaviors",Data Visualization,,Mixed Reality,Immersive Analytics,Human Behaviors,,,,,
,Bioinformatics Services Division,,Weijun Luo,Bioinformatics,,https://scholar.google.com/citations?user=b-sb6MwAAAAJ&hl=en,https://cci.uncc.edu/directory/luo-weijun,Weiijun Luo,"Bioinformatics,Data Analytics,Integration and Visualization,Genetics,Complex Diseases",Bioinformatics,,Data Analytics,Integration and Visualization,Genetics,Complex Diseases,,,,
,,,,Bioinformatics,,,https://cci.uncc.edu/directory/mays-lawrence,Lawrence Mays,"Bioinformatics,Genomics",Bioinformatics,,Genomics,,,,,,,
ROSEHUB (Robots and Sensors for Human Well-being),"""Intelligent, Multimedia, and Interactive Systems Lab""",,,CS,,https://scholar.google.com/citations?user=7rQCvNkAAAAJ&hl=en,https://webpages.uncc.edu/smcleo12/,Sterling McLeod,"Robotics,Software Validation and Verification,Artificial Intelligence",Robotics,,Software Validation and Verification,Artificial Intelligence,,,,,,
,,,,SIS,,https://scholar.google.com/citations?user=yS1_YjAAAAAJ&hl=en,,Marlon Mejias,"Computer Science Education,Gamification,Socio-Technical Systems",Computer Science Education,,Gamification,Socio-Technical Systems,,,,,,
BRC (Bioinformatics Research Center),,,M. Taghi Mostafavi,CS,,,https://webpages.uncc.edu/taghi/,Taghi Mostafavi,"Cancer Research,Bioinformatics,Medical Instrumentation,Computer Systems Engineering,Systems Architecture",Cancer Research,,Bioinformatics,Medical Instrumentation,Computer Systems Engineering,Systems Architecture,,,,
,"""Cyber resiliency, security, and trust lab (CREST)""","Enterprise security,Trusted computing,Resilience",Thomas Moyer; Thomas M. Moyer,SIS,,https://scholar.google.com/citations?user=u_imA0AAAAAJ&hl=en&oi=sra,https://thomasmoyer.org,Thomas Moyer,"Computer and Network Security,Resilience,Trusted computing",Computer and Network Security,,Resilience,Trusted computing,,,,,,
